time	est_speed	baro_speed	gps_speed	vel_z_pid_output	vel_z_pid_err	vel_z_I	gps_status	healthy	state	mav_mode
184138	0.6387	0.8922	0.1500	0.0593	0.1009	0.0791	2	1	0	192
184188	0.6672	0.9728	0.1500	0.0593	0.1009	0.0791	2	1	0	192
184238	0.7146	0.9233	0.1500	0.0593	0.1009	0.0791	2	1	0	192
184288	0.7791	0.7127	0.2899	0.0593	0.1009	0.0791	2	1	0	192
184338	0.8081	0.5866	0.2899	0.0593	0.1009	0.0791	2	1	0	192
184388	0.7630	0.5074	0.2899	0.0593	0.1009	0.0791	2	1	0	192
184438	0.7166	0.8128	0.2899	0.0593	0.1009	0.0791	2	1	0	192
184488	0.7205	1.2684	0.3199	0.0593	0.1009	0.0791	2	1	0	192
184538	0.7309	1.4777	0.3199	0.0593	0.1009	0.0791	2	1	0	192
184588	0.7121	1.0912	0.3199	0.0593	0.1009	0.0791	2	1	0	192
184638	0.7332	0.8608	0.3199	0.0593	0.1009	0.0791	2	1	0	192
184688	0.7808	0.7185	0.3199	0.0593	0.1009	0.0791	2	1	0	192
184738	0.7898	0.7179	0.3199	0.0593	0.1009	0.0791	2	1	0	192
184788	0.8174	0.7857	0.3600	0.0593	0.1009	0.0791	2	1	0	192
184838	0.8383	0.9850	0.3600	0.0593	0.1009	0.0791	2	1	0	192
184888	0.8147	1.0768	0.3600	0.0593	0.1009	0.0791	2	1	0	192
184938	0.8379	0.8482	0.3600	0.0593	0.1009	0.0791	2	1	0	192
184988	0.8331	0.7095	0.9300	0.0593	0.1009	0.0791	2	1	0	192
185038	0.8819	0.6126	0.9300	0.0593	0.1009	0.0791	2	1	0	192
185088	0.8886	0.8087	0.9300	0.0593	0.1009	0.0791	2	1	0	192
185138	0.8737	0.6825	0.9300	0.0593	0.1009	0.0791	2	1	0	192
185188	0.8890	0.6013	0.9300	0.0593	0.1009	0.0791	2	1	0	192
185238	0.8708	0.5419	0.9300	0.0593	0.1009	0.0791	2	0	0	192
185288	0.8623	0.7847	0.9100	0.0593	0.1009	0.0791	2	0	0	192
185338	0.8338	0.9050	0.9100	0.0593	0.1009	0.0791	2	0	0	192
185388	0.8107	0.9475	0.9100	0.0593	0.1009	0.0791	2	0	0	192
185438	0.8022	1.3284	0.9100	0.0593	0.1009	0.0791	2	0	0	192
185488	0.8610	1.4722	0.4599	0.0593	0.1009	0.0791	2	0	0	192
185538	0.8767	1.0513	0.4599	0.0593	0.1009	0.0791	2	0	0	192
185588	0.8732	0.8011	0.4599	0.0593	0.1009	0.0791	2	0	0	192
185638	0.8661	1.5427	0.4599	0.0593	0.1009	0.0791	2	0	0	192
185688	0.8550	2.0638	0.4599	0.0593	0.1009	0.0791	2	0	0	192
185738	0.8330	2.3738	0.4599	0.0593	0.1009	0.0791	2	0	0	192
185788	0.7988	2.3981	0.2399	0.0593	0.1009	0.0791	2	0	0	192
185838	0.7445	2.0793	0.2399	0.0593	0.1009	0.0791	2	0	0	192
185888	0.7412	1.8897	0.2399	0.0593	0.1009	0.0791	2	0	0	192
185938	0.7556	2.0007	0.2399	0.0593	0.1009	0.0791	2	0	0	192
185988	0.7967	2.0975	0.1700	0.0593	0.1009	0.0791	2	0	0	192
186038	0.7056	1.8245	0.1700	0.0593	0.1009	0.0791	2	0	0	192
186088	0.6207	1.4483	0.1700	0.0593	0.1009	0.0791	2	0	0	192
186138	0.5764	1.0928	0.1700	0.0593	0.1009	0.0791	2	1	0	192
186188	0.5044	0.8405	0.1700	0.0593	0.1009	0.0791	2	1	0	192
186238	0.4517	0.4787	0.1700	0.0593	0.1009	0.0791	2	0	0	192
186288	0.4261	0.2795	-0.0700	0.0593	0.1009	0.0791	2	0	0	192
186338	0.3953	0.1690	-0.0700	0.0593	0.1009	0.0791	2	0	0	192
186388	0.3635	-0.0187	-0.0700	0.0593	0.1009	0.0791	2	0	0	192
186438	0.3441	-0.1147	-0.0700	0.0593	0.1009	0.0791	2	0	0	192
186488	0.3173	-0.1616	-0.1000	0.0593	0.1009	0.0791	2	0	0	192
186538	0.2655	-0.7321	-0.1000	0.0593	0.1009	0.0791	2	0	0	192
186588	0.2207	-1.0136	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
186638	0.2021	-0.6513	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
186688	0.1895	-0.4276	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
186738	0.2605	-0.2992	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
186788	0.3214	0.0456	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
186838	0.3431	0.1221	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
186888	0.3497	0.1596	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
186938	0.3539	0.1324	-0.0199	0.0593	0.1009	0.0791	2	0	0	64
186988	0.3380	0.0324	-0.1500	0.0593	0.1009	0.0791	2	0	0	64
187038	0.3074	-0.0203	-0.1500	0.0593	0.1009	0.0791	2	0	0	64
187088	0.2836	-1.0582	-0.1500	0.0593	0.1009	0.0791	2	0	0	64
187138	0.2391	-1.5485	-0.1500	0.0593	0.1009	0.0791	2	1	0	64
187188	0.1955	-1.0321	-0.1500	0.0593	0.1009	0.0791	2	1	0	64
187238	0.1672	-0.5770	-0.1500	0.0593	0.1009	0.0791	2	0	0	64
187288	0.1501	-0.1617	-0.1100	0.0593	0.1009	0.0791	2	0	0	64
187338	0.1590	0.0624	-0.1100	0.0593	0.1009	0.0791	2	1	0	64
187388	0.1702	-0.1653	-0.1100	0.0593	0.1009	0.0791	2	1	0	64
187438	0.1667	-0.0644	-0.1100	0.0593	0.1009	0.0791	2	0	0	64
187488	0.1614	-0.2208	-0.2099	0.0593	0.1009	0.0791	2	0	0	64
187538	0.1433	-0.4166	-0.2099	0.0593	0.1009	0.0791	2	0	0	64
187588	0.1244	-0.5072	-0.2099	0.0593	0.1009	0.0791	2	0	0	64
187638	0.1038	-0.4256	-0.2099	0.0593	0.1009	0.0791	2	0	0	64
187688	0.0884	-0.3691	-0.2099	0.0593	0.1009	0.0791	2	0	0	64
187738	0.0766	-0.3355	-0.2099	0.0593	0.1009	0.0791	2	1	0	64
187788	0.0687	-0.2260	-0.1000	0.0593	0.1009	0.0791	2	1	0	64
187838	0.0805	-0.0374	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
187888	0.0972	0.0617	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
187938	0.1104	-0.0124	-0.1000	0.0593	0.1009	0.0791	2	0	0	64
187988	0.1184	-0.5982	-0.3500	0.0593	0.1009	0.0791	2	0	0	64
188038	0.0790	-0.8476	-0.3500	0.0593	0.1009	0.0791	2	0	0	64
188088	0.0406	-0.9591	-0.3500	0.0593	0.1009	0.0791	2	0	0	64
188138	0.0066	-0.6952	-0.3500	0.0593	0.1009	0.0791	2	0	0	64
188188	-0.0139	-0.4211	-0.3500	0.0593	0.1009	0.0791	2	0	0	64
188238	-0.0244	-0.1843	-0.3500	0.0593	0.1009	0.0791	2	0	0	64
188288	-0.0297	-0.1407	-0.1700	0.0593	0.1009	0.0791	2	0	0	64
188338	-0.0068	0.0089	-0.1700	0.0593	0.1009	0.0791	2	0	0	64
188388	0.0152	0.0890	-0.1700	0.0593	0.1009	0.0791	2	0	0	64
188438	0.0348	0.1291	-0.1700	0.0593	0.1009	0.0791	2	0	0	64
188488	0.0518	0.1471	-0.2099	0.0593	0.1009	0.0791	2	0	0	64
188538	0.0492	-0.3939	-0.2099	0.0593	0.1009	0.0791	2	0	0	64
188588	0.0403	-0.2811	-0.2099	0.0593	0.1009	0.0791	2	0	0	64
188638	0.0417	0.0014	-0.2099	0.0593	0.1009	0.0791	2	0	0	64
188688	0.0495	0.1501	-0.2099	0.0593	0.1009	0.0791	2	0	0	64
188738	0.0570	-0.1882	-0.2099	0.0593	0.1009	0.0791	2	1	0	64
188788	0.0556	-0.3682	-0.1399	0.0593	0.1009	0.0791	2	1	0	64
188838	0.0632	-0.1602	-0.1399	0.0593	0.1009	0.0791	2	0	0	64
188888	0.0737	-0.0475	-0.1399	0.0593	0.1009	0.0791	2	0	0	64
188938	0.0846	0.0123	-0.1399	0.0593	0.1009	0.0791	2	1	0	64
188988	0.0965	0.1639	-0.2000	0.0593	0.1009	0.0791	2	1	0	64
189038	0.1019	0.2449	-0.2000	0.0593	0.1009	0.0791	2	1	0	64
189088	0.1074	0.2813	-0.2000	0.0593	0.1009	0.0791	2	1	0	64
189138	0.1139	0.3785	-0.2000	0.0593	0.1009	0.0791	2	0	0	64
189188	0.1206	0.3042	-0.2000	0.0593	0.1009	0.0791	2	0	0	64
189238	0.1231	0.2385	-0.2000	0.0593	0.1009	0.0791	2	0	0	64
189288	0.1243	0.3679	-0.1900	0.0593	0.1009	0.0791	2	0	0	64
189338	0.1293	0.4273	-0.1900	0.0593	0.1009	0.0791	2	0	0	64
189388	0.1346	0.4427	-0.1900	0.0593	0.1009	0.0791	2	0	0	64
189438	0.1382	0.3192	-0.1900	0.0593	0.1009	0.0791	2	0	0	64
189488	0.1389	0.2486	-0.2399	0.0593	0.1009	0.0791	2	0	0	64
189538	0.1295	0.0796	-0.2399	0.0593	0.1009	0.0791	2	0	0	64
189588	0.1186	-0.0087	-0.2399	0.0593	0.1009	0.0791	2	0	0	64
189638	0.1079	-0.0561	-0.2399	0.0593	0.1009	0.0791	2	0	0	64
189688	0.0998	0.0041	-0.2399	0.0593	0.1009	0.0791	2	0	0	64
189738	0.0939	0.0356	-0.2399	0.0593	0.1009	0.0791	2	0	0	64
189788	0.0895	-0.0653	-0.1599	0.0593	0.1009	0.0791	2	0	0	64
189838	0.0941	-0.0011	-0.1599	0.0593	0.1009	0.0791	2	0	0	64
